event_time,event_time_formatted,code,value,status,event_from,event_id
1766688597009,2025-12-25 13:49:57,liquid_level_percent,57,1,1,7
1766688595933,2025-12-25 13:49:55,liquid_level_percent,56,1,1,7
1766688594777,2025-12-25 13:49:54,liquid_level_percent,57,1,1,7
1766688593702,2025-12-25 13:49:53,liquid_level_percent,56,1,1,7
1766688592625,2025-12-25 13:49:52,liquid_level_percent,57,1,1,7
1766688591547,2025-12-25 13:49:51,liquid_level_percent,56,1,1,7
1766688590386,2025-12-25 13:49:50,liquid_level_percent,57,1,1,7
1766688589305,2025-12-25 13:49:49,liquid_level_percent,56,1,1,7
1766688588227,2025-12-25 13:49:48,liquid_level_percent,57,1,1,7
1766688587067,2025-12-25 13:49:47,liquid_level_percent,56,1,1,7
1766688584916,2025-12-25 13:49:44,liquid_level_percent,57,1,1,7
1766688583762,2025-12-25 13:49:43,liquid_level_percent,56,1,1,7
1766688581531,2025-12-25 13:49:41,liquid_level_percent,57,1,1,7
1766688580454,2025-12-25 13:49:40,liquid_level_percent,56,1,1,7
1766688578219,2025-12-25 13:49:38,liquid_level_percent,57,1,1,7
1766688577141,2025-12-25 13:49:37,liquid_level_percent,56,1,1,7
1766688574913,2025-12-25 13:49:34,liquid_level_percent,57,1,1,7
1766688573832,2025-12-25 13:49:33,liquid_level_percent,56,1,1,7
1766688571602,2025-12-25 13:49:31,liquid_level_percent,57,1,1,7
1766688570523,2025-12-25 13:49:30,liquid_level_percent,56,1,1,7
1766688540741,2025-12-25 13:49:00,liquid_level_percent,57,1,1,7
1766688467851,2025-12-25 13:47:47,liquid_level_percent,56,1,1,7
1766688462331,2025-12-25 13:47:42,liquid_level_percent,57,1,1,7
1766688461173,2025-12-25 13:47:41,liquid_level_percent,56,1,1,7
1766688458944,2025-12-25 13:47:38,liquid_level_percent,57,1,1,7
1766688457864,2025-12-25 13:47:37,liquid_level_percent,56,1,1,7
1766688453496,2025-12-25 13:47:33,liquid_level_percent,57,1,1,7
